capture_time_utc,frame_file,ntu,chl,sensor_time_utc,cam_viz_low_ft,cam_viz_high_ft,confidence,furthest_piling_ft,usable_frame
20260730T182958Z,scripps_20260730T182958Z.jpg,1.37,0.51,2026-07-30T18:08:00Z,,,,,
20260730T201725Z,scripps_20260730T201725Z.jpg,1.89,1.04,2026-07-30T19:52:00Z,,,,,
20260730T221032Z,scripps_20260730T221032Z.jpg,0.37,0.73,2026-07-30T21:52:00Z,,,,,
20260731T000626Z,scripps_20260731T000626Z.jpg,0.17,0.55,2026-07-30T23:52:00Z,,,,,
20260731T152324Z,scripps_20260731T152324Z.jpg,0.15,0.6,2026-07-31T15:08:00Z,,,,,
20260731T174352Z,scripps_20260731T174352Z.jpg,2026-07-31T17:24:10Z,,,,,,,
20260731T194125Z,scripps_20260731T194125Z.jpg,2026-07-31T19:24:10Z,,,,,,,
20260731T211115Z,scripps_20260731T211115Z.jpg,2026-07-31T21:00:10Z,,,,,,,
20260731T234912Z,scripps_20260731T234912Z.jpg,0.32,0.93,2026-07-31T23:40:00Z,,,,,
20260801T143713Z,scripps_20260801T143713Z.jpg,2026-08-01T14:24:10Z,,,,,,,
20260801T160452Z,scripps_20260801T160452Z.jpg,0.2,0.66,2026-08-01T15:52:00Z,,,,,
20260801T180315Z,scripps_20260801T180315Z.jpg,0.02,0.49,2026-08-01T17:40:00Z,,,,,
20260801T201206Z,scripps_20260801T201206Z.jpg,0.4,0.42,2026-08-01T19:52:00Z,,,,,
20260801T220034Z,scripps_20260801T220034Z.jpg,0.65,1.09,2026-08-01T21:40:00Z,,,,,
20260801T230434Z,scripps_20260801T230434Z.jpg,0.67,1.31,2026-08-01T22:52:00Z,,,,,
20260802T055003Z,scripps_20260802T055003Z.jpg,0.37,0.4,2026-08-02T05:40:00Z,,,,,
20260802T055221Z,scripps_20260802T055221Z.jpg,0.37,0.4,2026-08-02T05:40:00Z,,,,,
20260802T055447Z,scripps_20260802T055447Z.jpg,0.37,0.4,2026-08-02T05:40:00Z,,,,,
20260802T061009Z,scripps_20260802T061009Z.jpg,0.45,0.47,2026-08-02T05:52:00Z,,,,,
